driver,file,sector,y,delta
Al Lotufo,Garage 61 - Al Lotufo - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.004 - 01K5N2GSK3B4SPRYZNQVMHBK1X.csv,Backstretch Chicane,9.34766561634567,0.32593683978269716
Al Lotufo,Garage 61 - Al Lotufo - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.004 - 01K5N2GSK3B4SPRYZNQVMHBK1X.csv,NASCAR T3–T4 (Oval),12.64870457190119,0.5542964697587305
Al Lotufo,Garage 61 - Al Lotufo - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.004 - 01K5N2GSK3B4SPRYZNQVMHBK1X.csv,Frontstretch Chicane Exit,9.391051540809624,0.5172436800359463
Aleksey Osinsky,Garage 61 - Aleksey Osinsky - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.694 - 01K5KTP3DP6HJNRQ47A0SWXKZS.csv,Frontstretch Chicane,6.527307183343917,0.5600460421741849
Aleksey Osinsky,Garage 61 - Aleksey Osinsky - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.694 - 01K5KTP3DP6HJNRQ47A0SWXKZS.csv,Infield Entry/Horseshoe,11.110613377873042,0.7716740207628412
Aleksey Osinsky,Garage 61 - Aleksey Osinsky - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.694 - 01K5KTP3DP6HJNRQ47A0SWXKZS.csv,Infield Switchbacks,11.787940093503341,1.0037111070632747
Aleksey Osinsky,Garage 61 - Aleksey Osinsky - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.694 - 01K5KTP3DP6HJNRQ47A0SWXKZS.csv,NASCAR T1–T2 (Oval),16.214559908802524,0.5432637461926149
Aleksey Osinsky,Garage 61 - Aleksey Osinsky - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.694 - 01K5KTP3DP6HJNRQ47A0SWXKZS.csv,Backstretch Chicane,9.669872251594265,0.6481434750312918
Aleksey Osinsky,Garage 61 - Aleksey Osinsky - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.694 - 01K5KTP3DP6HJNRQ47A0SWXKZS.csv,NASCAR T3–T4 (Oval),12.540292917254437,0.4458848151119774
Aleksey Osinsky,Garage 61 - Aleksey Osinsky - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.694 - 01K5KTP3DP6HJNRQ47A0SWXKZS.csv,Frontstretch Chicane Exit,9.843414267628479,0.9696064068548012
Alessandro Alessio,Garage 61 - Alessandro Alessio - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.811 - 01K5NMHX11PQQCN8T2PAHGH15K.csv,Frontstretch Chicane,6.471838410153586,0.5045772689838532
Alessandro Alessio,Garage 61 - Alessandro Alessio - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.811 - 01K5NMHX11PQQCN8T2PAHGH15K.csv,Infield Entry/Horseshoe,11.131758594047675,0.7928192369374738
Alessandro Alessio,Garage 61 - Alessandro Alessio - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.811 - 01K5NMHX11PQQCN8T2PAHGH15K.csv,Infield Switchbacks,11.24893017625384,0.4647011898137734
Alessandro Alessio,Garage 61 - Alessandro Alessio - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.811 - 01K5NMHX11PQQCN8T2PAHGH15K.csv,NASCAR T1–T2 (Oval),16.555396088188743,0.884099925578834
Alessandro Alessio,Garage 61 - Alessandro Alessio - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.811 - 01K5NMHX11PQQCN8T2PAHGH15K.csv,Backstretch Chicane,9.59574954808296,0.5740207715199865
Alessandro Alessio,Garage 61 - Alessandro Alessio - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.811 - 01K5NMHX11PQQCN8T2PAHGH15K.csv,NASCAR T3–T4 (Oval),12.457426370691852,0.3630182685493928
Alessandro Alessio,Garage 61 - Alessandro Alessio - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.811 - 01K5NMHX11PQQCN8T2PAHGH15K.csv,Frontstretch Chicane Exit,9.349900812581367,0.47609295180768996
Andre Grove,Garage 61 - Andre Grove - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.187 - 01K5PJA24GPGE2WGQ482EGFMBM.csv,Frontstretch Chicane,6.347678591944457,0.38041745077472466
Andre Grove,Garage 61 - Andre Grove - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.187 - 01K5PJA24GPGE2WGQ482EGFMBM.csv,Infield Entry/Horseshoe,11.225498225544344,0.8865588684341432
Andre Grove,Garage 61 - Andre Grove - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.187 - 01K5PJA24GPGE2WGQ482EGFMBM.csv,Infield Switchbacks,11.510600464476978,0.7263714780369117
Andre Grove,Garage 61 - Andre Grove - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.187 - 01K5PJA24GPGE2WGQ482EGFMBM.csv,NASCAR T1–T2 (Oval),16.4172523058341,0.7459561432241912
Andre Grove,Garage 61 - Andre Grove - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.187 - 01K5PJA24GPGE2WGQ482EGFMBM.csv,Backstretch Chicane,9.463936004260368,0.44220722769739496
Andre Grove,Garage 61 - Andre Grove - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.187 - 01K5PJA24GPGE2WGQ482EGFMBM.csv,NASCAR T3–T4 (Oval),12.558194752951916,0.4637866508094568
Andre Grove,Garage 61 - Andre Grove - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.187 - 01K5PJA24GPGE2WGQ482EGFMBM.csv,Frontstretch Chicane Exit,9.663839654987834,0.7900317942141566
Andrew H,Garage 61 - Andrew H - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.912 - 01K59535QEVYV8DETT7APXHBJ9.csv,Frontstretch Chicane,6.357099581709209,0.38983844053947614
Andrew H,Garage 61 - Andrew H - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.912 - 01K59535QEVYV8DETT7APXHBJ9.csv,Infield Entry/Horseshoe,11.209383749903672,0.8704443927934715
Andrew H,Garage 61 - Andrew H - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.912 - 01K59535QEVYV8DETT7APXHBJ9.csv,Infield Switchbacks,11.767134069625252,0.9829050831851855
Andrew H,Garage 61 - Andrew H - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.912 - 01K59535QEVYV8DETT7APXHBJ9.csv,NASCAR T1–T2 (Oval),16.22844919419541,0.5571530315855
Andrew H,Garage 61 - Andrew H - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.912 - 01K59535QEVYV8DETT7APXHBJ9.csv,Backstretch Chicane,9.290171105602052,0.26844232903907894
