driver,file,sector,y,delta,speed_mean,speed_min,speed_max,speed_entry,speed_exit,speed_p95,speed_p05,thr_mean,thr_std,br_mean,br_std,time_on_brake_s,brake_area
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,Frontstretch Chicane,6.309267458374314,0.3420063172045813,45.87509448275862,40.096962,53.039223,44.55083098644227,43.440944766398424,52.58858511654149,40.25079163406841,0.6102047429254962,0.4551718959764847,0.03649213855702918,0.0953506955655877,0.7886584322967892,0.24710544010669175
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,Infield Entry/Horseshoe,10.762299917699185,0.42336056058898386,47.077301474576274,36.143303,57.170895,44.821211580258556,40.92773425304049,56.49115200646095,37.41807059813638,0.5771278727385877,0.4843014923198893,0.022131951705956332,0.051269224437005094,1.0089656172842987,0.24247967183275557
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,Infield Switchbacks,11.30814115134998,0.5239121649099143,51.291557745937965,41.799877,60.090042,42.29969228342572,43.43608975850058,59.687501323186765,42.952549841117055,0.7047619619014793,0.42881347111252827,0.02514809352892617,0.08247441100760113,0.9276209538216781,0.3037523690895321
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,NASCAR T1–T2 (Oval),16.712977887071684,1.0416817244617746,39.49396009368737,14.611808,61.849022,44.9046435764655,61.5085840603089,61.05511347794639,16.646909856720907,0.7459162218298657,0.41419668458165304,0.06978868979946984,0.18459065404778713,1.8932670262698392,0.9512465734529751
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,Backstretch Chicane,9.556925642098646,0.5351968655356725,53.25932541739131,28.762432,68.29642,62.12634342729578,29.283052513724822,68.0423066128594,29.082010205986386,0.6029792766000558,0.4618139463511,0.14034780725160295,0.2667034525168641,2.1279092249985267,1.268321049327517
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,NASCAR T3–T4 (Oval),12.330493504715037,0.23608540257257715,52.984788129852745,30.477276,65.25016,32.73863582129363,65.02451678821473,64.72211051928721,35.67784434650248,1.0,0.0,0.0,0.0,0.0,0.0
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,Frontstretch Chicane Exit,9.877894438691165,1.0040865779174872,44.1093500952381,24.00787,67.5623,65.42412973978064,42.80380219112798,67.35606642700267,24.713528269118555,0.653096993900127,0.4477951269314033,0.15893630354322777,0.2556213883287762,2.9324999114864396,1.6161675440296364
Adam Hernandez,Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,Frontstretch Chicane,6.551851389497299,0.5845902483275669,44.27018152658227,36.86841,52.79713,43.58380859305033,41.607868910993176,52.32722671951842,37.51613025375332,0.6299822101360136,0.46427625010716556,0.061194153327703005,0.14091681771907097,1.023726779608953,0.4321427398023568
Adam Hernandez,Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,Infield Entry/Horseshoe,11.07897276289656,0.7400334057863596,45.842393884384386,34.719673,56.30432,43.34065380452847,38.13036213233776,55.64976861860454,35.82036068160335,0.5819765237897898,0.4492005107483722,0.030104451680412186,0.06923534203242288,1.3415943580070053,0.3487377082948826
Adam Hernandez,Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,Infield Switchbacks,11.655783939339402,0.871554952899336,49.91664065329513,38.791656,59.562706,39.60303253664798,42.65951118041102,59.06368470970643,40.52196834199644,0.7053790897330924,0.4290285711040187,0.03057347235951798,0.09911098691134816,1.0471993383000244,0.3873540684089332
Adam Hernandez,Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,NASCAR T1–T2 (Oval),16.94829364231243,1.2769974797025192,38.729463169616515,13.519941,61.945415,41.33185087068419,61.61049957054206,61.1587138863087,17.824296795678094,0.7279466108466077,0.40523871894613483,0.061278883156046245,0.1456453617036141,2.0523324332487705,0.8118664907094666
Adam Hernandez,Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,Backstretch Chicane,9.472670251445582,0.45094147488260816,53.746983361552026,26.312895,67.967026,62.222179542852444,27.021272071059126,67.72546286263707,28.697779290977753,0.5860038100592593,0.47395369931572495,0.14365755234426805,0.24177217866976183,2.479175417370523,1.2598218117783468
