driver,file,sector,sector_time_sec,brake_start_m,throttle_on_m,entry_speed_kph,exit_speed_kph,min_speed_kph,max_speed_kph,mean_speed_kph,var_speed,full_throttle_ratio,brake_ratio,sector_time_best,delta_time_sec
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,Frontstretch Chicane,6.309147307494,205.02278571,379.91473017,44.48334938461539,43.882669560000004,40.170429760000005,52.72257836,45.88561579629349,16.36123382774237,0.523936170212766,0.12234042553191489,5.96698058012354,0.3421667273704605
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,Infield Entry/Horseshoe,10.76357001808367,843.22873242,1175.63506959,43.938845799999996,41.68546464,36.35446496,56.91781904,47.0778407261017,38.137737209373896,0.551617873651772,0.08936825885978428,10.33970865350089,0.4238613645827787
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,Infield Switchbacks,11.309834377599152,1903.4007963,1274.5822323,41.72605648,43.96543184,41.72605648,59.96186244,51.29103137217135,33.65882816152581,0.6440177252584933,0.07828655834564253,10.785510625633757,0.5243237519653956
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,NASCAR T1–T2 (Oval),16.710196338392457,2268.7883624399997,2435.33450559,44.004127600000004,61.849172679999995,14.671023,61.849172679999995,39.49360922386773,240.41380403617936,0.7024048096192385,0.14428857715430862,15.671501026181963,1.0386953122104945
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,Backstretch Chicane,9.555607315555424,3780.3947814000003,4037.63451051,61.872652079999995,30.396404080000003,28.804758800000005,68.1685212,53.261676506852176,244.40800696678517,0.5443478260869565,0.2539130434782609,9.0217610919371,0.5338462236183243
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,NASCAR T3–T4 (Oval),12.33312987313845,,4055.7511332,30.46906732,65.25455355999999,30.46906732,65.25455355999999,52.98277994077644,97.62646507899758,1.0,0.0,12.096361743817779,0.23676812932067115
Abby Evans,Garage 61 - Abby Evans - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.858 - 01K5AQ2H66S81NREYP46G5EAKE.csv,Frontstretch Chicane Exit,9.876514769736847,5345.7311595,5573.9093193,65.27198116000001,43.42618753846155,24.04824876,67.44612132,44.10645770922927,252.20936302907543,0.6027164685908319,0.298811544991511,8.87322455314477,1.0032902165920774
Adam Hernandez,Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,Frontstretch Chicane,6.551084808794101,208.33076250000002,378.82599375,43.41391707692307,42.2060416,37.12158712,52.48100947999999,44.278645331841275,24.13334862952302,0.5862944162436549,0.14720812182741116,5.96698058012354,0.5841042286705616
Adam Hernandez,Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,Infield Entry/Horseshoe,11.080216264256695,894.71477301,1189.2329205600001,42.2733948,38.85377948,34.9498976,56.078435799999994,45.84112467915916,40.297598041170886,0.40540540540540543,0.11561561561561562,10.33970865350089,0.7405076107558042
Adam Hernandez,Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,Infield Switchbacks,11.657836970377236,1917.0263378099999,1274.48294028,38.88734056,41.42634232,38.88734056,59.376796920000004,49.913107363954154,37.821305318132545,0.6303724928366762,0.0830945558739255,10.785510625633757,0.8723263447434793
Adam Hernandez,Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,NASCAR T1–T2 (Oval),16.945016086295958,2275.77008604,2428.6011279,41.37392976,61.944956360000006,13.769548180000001,61.944956360000006,38.731734801553586,238.40006343336123,0.6243854473942969,0.16519174041297935,15.671501026181963,1.2735150601139953
Adam Hernandez,Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,Backstretch Chicane,9.471400006598637,3773.5883539799997,4042.70089452,61.968919719999995,27.454607080000002,26.58058156,67.85625336,53.74837156190476,229.99697161571282,0.5414462081128748,0.30158730158730157,9.0217610919371,0.4496389146615378
Adam Hernandez,Garage 61 - Adam Hernandez - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.919 - 01K5QS9FYQPQWJ0ZF0HAG1AJ1M.csv,NASCAR T3–T4 (Oval),12.847370283282839,,4055.78844012,27.509819039999996,64.23771040000001,27.509819039999996,64.23771040000001,50.94710487119691,118.73054011244085,0.9433719433719434,0.0,12.096361743817779,0.7510085394650599
