file,driver,lap_time_sec
Garage 61 - Dominik Eisel - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.625 - 01K58MJCCWQE36N11XD94KRE4D.csv,Dominik Eisel,77.625
Garage 61 - Duncan Schuurman - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.906 - 01K5HZR7TBEPV4THNY68AVA06Z.csv,Duncan Schuurman,77.906
Garage 61 - Duncan Watts - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.13.894 - 01K553MB2EZB12524MPGY7J439.csv,Duncan Watts,73.894
Garage 61 - Edwin Onofre - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.205 - 01K5N18VZ2QM13RE1KVQ8ND87X.csv,Edwin Onofre,74.205
Garage 61 - Eric Nickens - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.152 - 01K57VVY1Y6Y5TF86RBGWBNBSF.csv,Eric Nickens,74.152
Garage 61 - Eric Stroisch - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.934 - 01K5QPC15W6QAEW4TVD95BW8PR.csv,Eric Stroisch,77.934
Garage 61 - Erik Nekkers - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.071 - 01K5HQPT9XJKR0VA54BMA08HM8.csv,Erik Nekkers,77.071
Garage 61 - Ethan Hamlett - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.340 - 01K5JC77CSN3B3698QX0AAQHA3.csv,Ethan Hamlett,74.34
Garage 61 - Ethan Szewczyk - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.638 - 01K5HVZKSDN1GTYERPF676MMFB.csv,Ethan Szewczyk,77.638
Garage 61 - Greg Colmer - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.317 - 01K5A5TJV6D7ARHSQ0JTVXRVDJ.csv,Greg Colmer,77.317
Garage 61 - Griffin Peebles - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.582 - 01K5KA2PXW4ARN5EM2ZGKBYW4W.csv,Griffin Peebles,74.582
Garage 61 - Guillaume Da Rugna - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.13.656 - 01K5PDZRS4QZ4CGKF2KFBR8BJW.csv,Guillaume Da Rugna,73.656
Garage 61 - Harrison Norris - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.844 - 01K5664MFXFTY6W4VXT8VS0PDE.csv,Harrison Norris,76.844
Garage 61 - Hugo Da Costa - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.123 - 01K5CBFJ12BDVG5BXMT9XS691F.csv,Hugo Da Costa,77.123
Garage 61 - Hunter Bowman - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.040 - 01K5N3XSCWJXBBXYWVMTCS5JG5.csv,Hunter Bowman,77.04
Garage 61 - Hunter Palmer - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.561 - 01K5D352V5C7HX1N66F7TSGQBK.csv,Hunter Palmer,77.561
Garage 61 - Isaac Smith - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.604 - 01K5N185REWM502M9HFQ74T6E7.csv,Isaac Smith,74.604
Garage 61 - J FR - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.381 - 01K5SD80PWCN63SPD413V5M2D3.csv,J FR,77.381
Garage 61 - Jace Thurein - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.847 - 01K5JRBMP1DHN5A9MEABRXT0YS.csv,Jace Thurein,76.847
Garage 61 - Jacob Simmons - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.321 - 01K5AQ2NQ7BE16QYZV0ERRVJQ8.csv,Jacob Simmons,74.321
Garage 61 - Jaiden Williams - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.283 - 01K5B9XM6BC8517Z4QGBG3QW3R.csv,Jaiden Williams,74.283
Garage 61 - James Bower - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.943 - 01K5EPZ1YJ6Y8GCH7EFBJRTQHW.csv,James Bower,77.943
Garage 61 - James McRitchie - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.821 - 01K5EY1W977G45K9AESGMC3H5Z.csv,James McRitchie,77.821
Garage 61 - James Peacock - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.535 - 01K5BKH3DPZR6SDHQ09V62QF3S.csv,James Peacock,77.535
Garage 61 - James Wiley - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.806 - 01K57Y7F3SNXZ0A8MR3ETEXFQE.csv,James Wiley,77.806
Garage 61 - Jarno Brijssinck - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.896 - 01K5PD7TCYGY6RNTTGRJENAW40.csv,Jarno Brijssinck,77.896
Garage 61 - Jason Cotcher - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.895 - 01K5JWD6614W7XB8VKJ2MM2DJD.csv,Jason Cotcher,77.895
Garage 61 - Jesse Ellingson - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.435 - 01K5Q30Y3MY907P53SEZES4AHP.csv,Jesse Ellingson,77.435
Garage 61 - Jules Roger - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.14.548 - 01K5EJ9P7PRGVW1HPB109GQKGQ.csv,Jules Roger,74.548
Garage 61 - Juna El Khammassi - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.17.155 - 01K5S295RB6W1ZQ1209P5KC1D2.csv,Juna El Khammassi,77.155
Garage 61 - Justin Clark - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.974 - 01K5CP1EN93Z81R3T0KTDHY4A4.csv,Justin Clark,76.974
Garage 61 - Kajetan Koll - Ligier JS P320 - Charlotte Motor Speedway (Roval 2025) - 01.16.827 - 01K5MX00P5BMBJ6Z0T0ZG8XB2N.csv,Kajetan Koll,76.827
