driver,file,sector,sector_time_sec,brake_start_m,throttle_on_m,entry_speed_kph,exit_speed_kph,min_speed_kph,max_speed_kph,mean_speed_kph,var_speed,full_throttle_ratio,brake_ratio,sector_time_best,delta_time_sec
Alessio Carrino,Garage 61 - Alessio Carrino - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.595 - 01JXFP3G96RKMXJJ0GJW786KYG.csv,T1-T2 (Rettifilo),18.796838048059456,706.92193341,976.0745035799999,69.906213,36.152224079999996,17.502282719999997,80.20797499999999,55.194985829614254,587.7257095866725,0.584299732381802,0.26672613737734163,18.38627200137899,0.41056604668046504
Alessio Carrino,Garage 61 - Alessio Carrino - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.595 - 01JXFP3G96RKMXJJ0GJW786KYG.csv,Curva Grande,11.661190500651793,,1042.95590511,36.27248328,72.57026372,36.27248328,72.57026372,59.082364547220635,102.59714268311632,1.0,0.0,11.588415280509311,0.07277522014248206
Alessio Carrino,Garage 61 - Alessio Carrino - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.595 - 01JXFP3G96RKMXJJ0GJW786KYG.csv,Var. della Roggia,10.779325435565767,1918.50471141,2159.6272717800002,72.59598491999999,38.984182919999995,25.57446412,75.7159372,48.03140446950311,370.2396694358801,0.37111801242236025,0.41459627329192544,10.341033627863455,0.4382918077023117
Alessio Carrino,Garage 61 - Alessio Carrino - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.595 - 01JXFP3G96RKMXJJ0GJW786KYG.csv,Lesmo 1-2,20.466100574619773,2431.42133409,2563.24985445,39.07681556,63.95007528,35.62807396,63.95007528,47.68310988314935,56.592895393820925,0.6956168831168831,0.20454545454545456,20.062911657518782,0.4031889171009908
Alessio Carrino,Garage 61 - Alessio Carrino - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.595 - 01JXFP3G96RKMXJJ0GJW786KYG.csv,Serraglio,9.090935886564878,3741.8866249200005,,63.98133468,49.68296368,49.68296368,76.70005596,69.57096701816849,38.24716393199525,0.7362637362637363,0.23992673992673993,8.835726908461426,0.2552089781034521
Alessio Carrino,Garage 61 - Alessio Carrino - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.595 - 01JXFP3G96RKMXJJ0GJW786KYG.csv,Ascari,16.46968441289742,,3968.4268719,49.48347231999999,75.42584472,35.82405268,75.42584472,55.75019032230536,164.8304755489921,0.6966632962588474,0.07280080889787664,16.24437667508812,0.2253077378092989
Alessio Carrino,Garage 61 - Alessio Carrino - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.595 - 01JXFP3G96RKMXJJ0GJW786KYG.csv,Parabolica,17.33092514164091,4973.459076300001,5191.73080059,75.44961192000001,69.44626607692308,34.285188559999995,77.73035236000001,56.33670716596683,181.69852763555954,0.655831739961759,0.20172084130019122,17.000741053092366,0.3301840885485454
Andrew Kramer,Garage 61 - Andrew Kramer - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.302 - 01K0JFVPGJB1B9QS0AGGC4RT9P.csv,T1-T2 (Rettifilo),18.91256016141692,718.95202479,981.07560048,79.2776056153846,35.64428532,16.045461239999998,80.71694564,42.260186221545105,612.1568302788714,0.3277310924369748,0.4061624649859944,18.38627200137899,0.5262881600379288
Andrew Kramer,Garage 61 - Andrew Kramer - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.302 - 01K0JFVPGJB1B9QS0AGGC4RT9P.csv,Curva Grande,11.664974088955724,,1042.82996529,35.76712988,72.68395595999999,35.76712988,72.68395595999999,58.97271010550643,105.47184535611652,1.0,0.0,11.588415280509311,0.07655880844641239
Andrew Kramer,Garage 61 - Andrew Kramer - Ferrari 296 Challenge - Autodromo Nazionale Monza (Grand Prix) - 01.44.302 - 01K0JFVPGJB1B9QS0AGGC4RT9P.csv,Var. della Roggia,10.47208808594501,1958.09992434,2181.56142354,72.70831204,40.81057584,25.53428268,76.39667708,49.337413034022255,410.56594308394335,0.44992050874403816,0.35771065182829886,10.341033627863455,0.13105445808155558
