feature,importance
brake_ratio,0.5836965381318072
full_throttle_ratio,0.33223236190848304
mean_speed_kph,0.030115046469322303
var_speed,0.013546229520903326
entry_speed_kph,0.011913856642080934
max_speed_kph,0.010611702657086938
brake_start_m,0.003795963316064873
throttle_on_m,0.0036322518709254997
min_speed_kph,0.00275742127281177
exit_speed_kph,0.001845784781232725
